;Time T1-Pressure(m)	T2-Pressure(m)	T3-Pressure(m)	T4-Pressure(m)	T5-Pressure(m)	T6-Pressure(m)	T7-Pressure(m)	S1-P310-Flowrate(l/s)	S2-PU4-Flowrate(l/s)	S3-PU7-Flowrate(l/s)	S4-PU8-Flowrate(l/s)	S5-PU10-Flowrate(l/s)
00:00:00	3	0.5	3	2.5	1	5.2	2.5	193	33	49	35	30
01:00:00	2.82	0.72	3.51	2.76	1.56	5.46	2.99	192	33	48	35	30
02:00:00	2.7	0.96	4.05	3.35	2.21	5.5	3.95	192	32	47	34	28
03:00:00	2.62	1.19	4.6	3.96	2.9	5.46	4.6	191	32	47	35	0
04:00:00	2.7	1.57	5.19	4.24	3.75	5.25	3.73	189	32	0	35	0
05:00:00	2.89	2.37	5.15	3.52	4.47	5.01	2.89	185	0	0	0	0
06:00:00	3.14	3.1	4.94	3.25	4.11	5.11	3.09	189	0	48	0	32
07:00:00	3.26	3.53	4.71	3.96	3.71	5.48	3.93	189	0	49	0	31
08:00:00	3.4	3.99	4.44	4.34	3.16	5.44	4.51	187	0	0	0	0
09:00:00	3.66	4.75	4.12	3.21	2.51	5.09	2.91	188	0	0	0	0
10:00:00	3.73	5.12	3.73	3.33	1.83	5.17	2.68	190	0	50	0	32
11:00:00	3.66	5.39	3.3	3.5	1.72	5.36	2.79	190	0	51	36	31
12:00:00	3.73	5.09	3.12	3.55	2.08	5.5	2.74	186	34	48	36	31
13:00:00	3.88	4.21	3.57	3.68	2.42	5.5	2.77	184	34	48	36	31
14:00:00	4.07	3.33	3.99	3.52	2.83	5.5	2.8	184	33	48	35	30
15:00:00	4.23	2.46	4.41	3.63	3.23	5.5	2.98	184	33	48	36	30
16:00:00	4.41	1.6	4.79	3.41	3.57	5.5	3.27	184	33	47	36	31
17:00:00	4.44	0.74	5.18	3.27	3.84	5.5	3.09	113	33	47	35	31
18:00:00	4.03	0.75	4.99	3.06	4.1	5.5	2.85	119	0	49	34	30
19:00:00	3.5	1.06	4.49	2.91	4.29	5.5	2.87	119	0	49	34	30
20:00:00	3.01	1.35	4.07	2.81	4.47	5.5	2.68	119	0	50	0	32
